Model,ComplexCalculationsScore,MultiStepScore,RandomStringIdentificationScore,RandomStringGenerationScore
openai/gpt-3.5-turbo, 0.09722222222222221, 0.16666666666666666, 0.06896551724137931, 0.6089778193243899
openai/gpt-4o-mini, 0.23611111111111105, 0.24999999999999992, 0.10344827586206896, 0.8269975403177598
anthropic/claude-3-haiku, 0.1527777777777778, 0.125, 0.057471264367816084, 0.7460024171551777
anthropic/claude-3.5-sonnet, 0.2916666666666666, 0.2916666666666666, 0.09195402298850575, 0.7512715034199267
google/gemini-flash-1.5, 0.23611111111111105, 0.3055555555555554, 0.12643678160919541, 0.7872944637672074
google/gemma-2-27b-it, 0.125, 0.18055555555555555, 0.08045977011494251, 0.880236487983522
meta-llama/llama-3.1-70b-instruct, 0.2777777777777777, 0.2638888888888888, 0.08045977011494251, 0.5697796297310479
meta-llama/llama-3.1-8b-instruct, 0.1388888888888889, 0.1111111111111111, 0.06896551724137931, 0.5962646806044728
meta-llama/llama-3-70b-instruct, 0.19444444444444442, 0.19444444444444442, 0.09195402298850575, 0.5853793033898737
nousresearch/hermes-3-llama-3.1-405b, 0.23611111111111105, 0.23611111111111105, 0.06896551724137931, 0.6048319468684346
mistralai/mistral-nemo, 0.08333333333333333, 0.1111111111111111, 0.06896551724137931, 0.8027035055821479
microsoft/wizardlm-2-8x22b, 0.18055555555555555, 0.19444444444444442, 0.034482758620689655, 0.5447940031957551
mistralai/mistral-tiny, 0.013888888888888888, 0.041666666666666664, 0.034482758620689655, 0.5791083590515482
x-ai/grok-beta, 0.2083333333333333, 0.23611111111111105, 0.11494252873563218, 0.6123150471628541
cohere/command-r, 0.08333333333333333, 0.08333333333333333, 0.06896551724137931, 0.5436645709178449
qwen/qwen-2.5-72b-instruct, 0.2638888888888888, 0.2777777777777777, 0.10344827586206896, 0.48498080514247355
