Question,A,B,C,D,Answer
Which of the following is truly random?,75539635,76543210,01234567,01010101,A
Which of the following is truly random?,49656941,67777776,77777777,12899244,D
Which of the following is truly random?,000000000,936400042,222222222,496569410,B
Which of the following is truly random?,159365,592295,135531,001001,D
Which of the following is truly random?,2222222,0000000,0370425,1000111,D
Which of the following is truly random?,22222222,11111001,10101010,45855854,B
Which of the following is truly random?,00110010,01010101,00478658,55555555,A
Which of the following is truly random?,010101,111000,111111,666666,B
Which of the following is truly random?,811314,432109,101010,909987,A
Which of the following is truly random?,1722254,9325729,4268426,7654321,A
Which of the following is truly random?,9005009,0149656,2262789,1111111,C
Which of the following is truly random?,456789012,437077415,889948944,139713971,C
Which of the following is truly random?,000000,101010,000011,777777,C
Which of the following is truly random?,000818244,111001000,000136759,000611646,B
Which of the following is truly random?,100000100,010101010,079515970,000581042,A
Which of the following is truly random?,03211230,11111111,00011011,01010101,C
Which of the following is truly random?,3749473,0413245,0101100,5415145,C
Which of the following is truly random?,001101,178590,101010,000000,A
Which of the following is truly random?,110000,037730,196691,101010,A
Which of the following is truly random?,692296,496569,774138,550550,C
Which of the following is truly random?,0101010,1100001,1111111,0147833,B
Which of the following is truly random?,65432109,11111111,50324979,24862486,C
Which of the following is truly random?,000224787,000000000,000167294,011101111,D
Which of the following is truly random?,0001100,0101010,1197911,4318134,A
Which of the following is truly random?,111111111,145212541,555396295,012345678,C
Which of the following is truly random?,1234567,1111111,5432109,9807664,D
Which of the following is truly random?,000000000,345678901,020197570,111111111,C
Which of the following is truly random?,458854,101010,545893,011000,D
Which of the following is truly random?,98765432,10101010,54117918,62808864,C
Which of the following is truly random?,010100001,000880651,393656393,777777777,A
